Zeit [s];r [rad];u1;d;y2 [rad]
3.41;31.415927;-0.985028587;0;30.03990895
3.42;31.415927;-0.994726755;0;30.03990895
3.43;31.415927;-1.004009377;0;30.03990895
3.44;31.415927;-1.01289426;0;30.03990895
3.45;31.415927;-1.021398448;0;30.03990895
3.46;31.415927;-1.029538257;0;30.03990895
3.47;31.415927;-1.0373293;0;30.03990895
3.48;31.415927;-1.044786525;0;30.03990895
3.49;31.415927;-1.051924235;0;30.03990895
3.5;31.415927;-1.058756125;0;30.03990895
3.51;31.415927;-1.053981063;0;30.04305055
3.52;31.415927;-1.060606502;0;30.04305055
3.53;31.415927;-1.066948071;0;30.04305055
3.54;31.415927;-1.073017937;0;30.04305055
3.55;31.415927;-1.078827742;0;30.04305055
3.56;31.415927;-1.095702866;0;30.03990895
3.57;31.415927;-1.10065907;0;30.03990895
3.58;31.415927;-1.105402937;0;30.03990895
3.59;31.415927;-1.109943568;0;30.03990895
3.6;31.415927;-1.114289673;0;30.03990895
3.61;31.415927;-1.118449586;0;30.03990895
3.62;31.415927;-1.122431288;0;30.03990895
3.63;31.415927;-1.126242415;0;30.03990895
3.64;31.415927;-1.129890277;0;30.03990895
3.65;31.415927;-1.133381871;0;30.03990895
3.66;31.415927;-1.136723892;0;30.03990895
3.67;31.415927;-1.139922752;0;30.03990895
3.68;31.415927;-1.142984584;0;30.03990895
3.69;31.415927;-1.145915262;0;30.03990895
3.7;31.415927;-1.13740617;0;30.04305055
3.71;31.415927;-1.140457595;0;30.04305055
3.72;31.415927;-1.143378311;0;30.04305055
3.73;31.415927;-1.157488154;0;30.03990895
3.74;31.415927;-1.159797579;0;30.03990895
3.75;31.415927;-1.162008093;0;30.03990895
3.76;31.415927;-1.164123933;0;30.03990895
3.77;31.415927;-1.166149158;0;30.03990895
3.78;31.415927;-1.168087651;0;30.03990895
3.79;31.415927;-1.169943127;0;30.03990895
3.8;31.415927;-1.171719146;0;30.03990895
3.81;31.415927;-1.173419111;0;30.03990895
3.82;31.415927;-1.175046283;0;30.03990895
3.83;31.415927;-1.17660378;0;30.03990895
3.84;31.415927;-1.178094589;0;30.03990895
3.85;31.415927;-1.179521566;0;30.03990895
3.86;31.415927;-1.180887449;0;30.03990895
3.87;31.415927;-1.182194854;0;30.03990895
3.88;31.415927;-1.183446288;0;30.03990895
3.89;31.415927;-1.184644149;0;30.03990895
3.9;31.415927;-1.185790733;0;30.03990895
3.91;31.415927;-1.186888238;0;30.03990895
3.92;31.415927;-1.187938767;0;30.03990895
3.93;31.415927;-1.188944332;0;30.03990895
3.94;31.415927;-1.189906861;0;30.03990895
3.95;31.415927;-1.190828198;0;30.03990895
3.96;31.415927;-1.191710108;0;30.03990895
3.97;31.415927;-1.192554281;0;30.03990895
3.98;31.415927;-1.193362334;0;30.03990895
3.99;31.415927;-1.194135815;0;30.03990895
4;31.415927;-1.194876205;0;30.03990895
4.01;31.415927;-1.195584923;0;30.03990895
4.02;31.415927;-1.196263325;0;30.03990895
4.03;31.415927;-1.196912711;0;30.03990895
4.04;31.415927;-1.197534325;0;30.03990895
4.05;31.415927;-1.198129356;0;30.03990895
4.06;31.415927;-1.198698943;0;30.03990895
4.07;31.415927;-1.199244178;0;30.03990895
4.08;31.415927;-1.199766103;0;30.03990895
4.09;31.415927;-1.200265717;0;30.03990895
4.1;31.415927;-1.200743977;0;30.03990895
4.11;31.415927;-1.201201798;0;30.03990895
4.12;31.415927;-1.19032582;0;30.04305055
4.13;31.415927;-1.19111179;0;30.04305055
4.14;31.415927;-1.191864133;0;30.04305055
4.15;31.415927;-1.192584291;0;30.04305055
4.16;31.415927;-1.193273644;0;30.04305055
4.17;31.415927;-1.193933511;0;30.04305055
4.18;31.415927;-1.194565156;0;30.04305055
4.19;31.415927;-1.195169789;0;30.04305055
4.2;31.415927;-1.195748566;0;30.04305055
4.21;31.415927;-1.196302597;0;30.04305055
4.22;31.415927;-1.196832941;0;30.04305055
4.23;31.415927;-1.197340614;0;30.04305055
4.24;31.415927;-1.197826586;0;30.04305055
4.25;31.415927;-1.198291789;0;30.04305055
4.26;31.415927;-1.198737112;0;30.04305055
4.27;31.415927;-1.199163407;0;30.04305055
4.28;31.415927;-1.199571489;0;30.04305055
4.29;31.415927;-1.19996214;0;30.04305055
4.3;31.415927;-1.200336105;0;30.04305055
4.31;31.415927;-1.2006941;0;30.04305055
4.32;31.415927;-1.20103681;0;30.04305055
4.33;31.415927;-1.212679123;0;30.03990895
4.34;31.415927;-1.212626761;0;30.03990895
4.35;31.415927;-1.201262465;0;30.04305055
4.36;31.415927;-1.201581041;0;30.04305055
4.37;31.415927;-1.201886021;0;30.04305055
4.38;31.415927;-1.202177987;0;30.04305055
4.39;31.415927;-1.202457497;0;30.04305055
4.4;31.415927;-1.202725085;0;30.04305055
4.41;31.415927;-1.202981261;0;30.04305055
4.42;31.415927;-1.203226515;0;30.04305055
4.43;31.415927;-1.203461315;0;30.04305055
4.44;31.415927;-1.203686109;0;30.04305055
4.45;31.415927;-1.203901325;0;30.04305055
4.46;31.415927;-1.204107374;0;30.04305055
4.47;31.415927;-1.204304648;0;30.04305055
4.48;31.415927;-1.204493525;0;30.04305055
4.49;31.415927;-1.204674363;0;30.04305055
4.5;31.415927;-1.204847508;0;30.04305055
4.51;31.415927;-1.205013288;0;30.04305055
4.52;31.415927;-1.20517202;0;30.04305055
4.53;31.415927;-1.205324005;0;30.04305055
4.54;31.415927;-1.205469533;0;30.04305055
4.55;31.415927;-1.20560888;0;30.04305055
4.56;31.415927;-1.205742312;0;30.04305055
4.57;31.415927;-1.205870081;0;30.04305055
4.58;31.415927;-1.205992431;0;30.04305055
4.59;31.415927;-1.206109593;0;30.04305055
4.6;31.415927;-1.20622179;0;30.04305055
4.61;31.415927;-1.206329235;0;30.04305055
4.62;31.415927;-1.206432131;0;30.04305055
4.63;31.415927;-1.206530674;0;30.04305055
4.64;31.415927;-1.206625049;0;30.04305055
4.65;31.415927;-1.206715436;0;30.04305055
4.66;31.415927;-1.206802005;0;30.04305055
4.67;31.415927;-1.20688492;0;30.04305055
4.68;31.415927;-1.206964338;0;30.04305055
4.69;31.415927;-1.207040408;0;30.04305055
4.7;31.415927;-1.207113274;0;30.04305055
4.71;31.415927;-1.207183073;0;30.04305055
4.72;31.415927;-1.207249936;0;30.04305055
4.73;31.415927;-1.20731399;0;30.04305055
4.74;31.415927;-1.207375355;0;30.04305055
4.75;31.415927;-1.207434146;0;30.04305055
4.76;31.415927;-1.207490474;0;30.04305055
4.77;31.415927;-1.207544443;0;30.04305055
4.78;31.415927;-1.207596155;0;30.04305055
4.79;31.415927;-1.207645707;0;30.04305055
4.8;31.415927;-1.207693191;0;30.04305055
4.81;31.415927;-1.207738696;0;30.04305055
4.82;31.415927;-1.207782307;0;30.04305055
4.83;31.415927;-1.207824105;0;30.04305055
4.84;31.415927;-1.207864167;0;30.04305055
4.85;31.415927;-1.207902568;0;30.04305055
4.86;31.415927;-1.207939379;0;30.04305055
4.87;31.415927;-1.207974669;0;30.04305055
4.88;31.415927;-1.208008502;0;30.04305055
4.89;31.415927;-1.208040941;0;30.04305055
4.9;31.415927;-1.208072045;0;30.04305055
4.91;31.415927;-1.208101873;0;30.04305055
4.92;31.415927;-1.208130478;0;30.04305055
4.93;31.415927;-1.208157913;0;30.04305055
4.94;31.415927;-1.208184228;0;30.04305055
4.95;31.415927;-1.208209471;0;30.04305055
4.96;31.415927;-1.208233688;0;30.04305055
4.97;31.415927;-1.208256923;0;30.04305055
4.98;31.415927;-1.208279218;0;30.04305055
4.99;31.415927;-1.208300613;0;30.04305055
5;31.415927;-1.208321147;0;30.04305055
5.01;31.415927;-1.208340857;0;30.04305055
5.02;31.415927;-1.208359778;0;30.04305055
5.03;31.415927;-1.208377944;0;30.04305055
5.04;31.415927;-1.208395388;0;30.04305055
5.05;31.415927;-1.208412139;0;30.04305055
5.06;31.415927;-1.208428229;0;30.04305055
5.07;31.415927;-1.208443685;0;30.04305055
5.08;31.415927;-1.208458534;0;30.04305055
5.09;31.415927;-1.208472802;0;30.04305055
5.1;31.415927;-1.208486515;0;30.04305055
5.11;31.415927;-1.208499696;0;30.04305055
5.12;31.415927;-1.208512368;0;30.04305055
5.13;31.415927;-1.208524553;0;30.04305055
5.14;31.415927;-1.208536271;0;30.04305055
5.15;31.415927;-1.208547543;0;30.04305055
5.16;31.415927;-1.208558387;0;30.04305055
5.17;31.415927;-1.208568823;0;30.04305055
5.18;31.415927;-1.208578867;0;30.04305055
5.19;31.415927;-1.208588537;0;30.04305055
5.2;31.415927;-1.208597848;0;30.04305055
5.21;31.415927;-1.208606815;0;30.04305055
5.22;31.415927;-1.208615454;0;30.04305055
5.23;31.415927;-1.208623779;0;30.04305055
5.24;31.415927;-1.208631802;0;30.04305055
5.25;31.415927;-1.208639538;0;30.04305055
5.26;31.415927;-1.208646998;0;30.04305055
5.27;31.415927;-1.208654194;0;30.04305055
5.28;31.415927;-1.208661137;0;30.04305055
5.29;31.415927;-1.208667839;0;30.04305055
5.3;31.415927;-1.208674309;0;30.04305055
5.31;31.415927;-1.208680557;0;30.04305055
5.32;31.415927;-1.208686594;0;30.04305055
5.33;31.415927;-1.208692427;0;30.04305055
5.34;31.415927;-1.208698067;0;30.04305055
5.35;31.415927;-1.20870352;0;30.04305055
5.36;31.415927;-1.208708796;0;30.04305055
5.37;31.415927;-1.208713901;0;30.04305055
5.38;31.415927;-1.208718843;0;30.04305055
5.39;31.415927;-1.208723629;0;30.04305055
5.4;31.415927;-1.208728266;0;30.04305055
5.41;31.415927;-1.20873276;0;30.04305055
5.42;31.415927;-1.208737117;0;30.04305055
5.43;31.415927;-1.208741343;0;30.04305055
5.44;31.415927;-1.208745444;0;30.04305055
5.45;31.415927;-1.208749425;0;30.04305055
5.46;31.415927;-1.208753291;0;30.04305055
5.47;31.415927;-1.208757047;0;30.04305055
5.48;31.415927;-1.208760698;0;30.04305055
5.49;31.415927;-1.208764248;0;30.04305055
5.5;31.415927;-1.208767702;0;30.04305055
5.51;31.415927;-1.208771063;0;30.04305055
5.52;31.415927;-1.208774337;0;30.04305055
5.53;31.415927;-1.208777525;0;30.04305055
5.54;31.415927;-1.208780633;0;30.04305055
5.55;31.415927;-1.208783664;0;30.04305055
5.56;31.415927;-1.20878662;0;30.04305055
5.57;31.415927;-1.208789505;0;30.04305055
5.58;31.415927;-1.208792323;0;30.04305055
5.59;31.415927;-1.208795075;0;30.04305055
5.6;31.415927;-1.208797766;0;30.04305055
