Zeit [s];y_1Modell;y_1Ref;y_2Modell;y_2Ref
Winkel [rad];-;--;-;--
4.04;10.92009954;11.65845034;-10.90956514;-11.66159193
4.05;10.92362284;11.65845034;-10.91320073;-11.66159193
4.06;10.92710858;11.65845034;-10.91679756;-11.66159193
4.07;10.93055716;11.65845034;-10.92035605;-11.66159193
4.08;10.93396898;11.65845034;-10.92387661;-11.66159193
4.09;10.93734444;11.65845034;-10.92735964;-11.66159193
4.1;10.94068391;11.65845034;-10.93080555;-11.66159193
4.11;10.94398779;11.65845034;-10.93421472;-11.66159193
4.12;10.94725645;11.65845034;-10.93758756;-11.66159193
4.13;10.95049027;11.65845034;-10.94092444;-11.66159193
4.14;10.95368962;11.65845034;-10.94422576;-11.66159193
4.15;10.95685487;11.65845034;-10.94749188;-11.66159193
4.16;10.95998638;11.65845034;-10.95072319;-11.66159193
4.17;10.96308451;11.65845034;-10.95392006;-11.66159193
4.18;10.96614961;11.65845034;-10.95708285;-11.66159193
4.19;10.96918204;11.65845034;-10.96021193;-11.66159193
4.2;10.97218215;11.65845034;-10.96330765;-11.66159193
4.21;10.97515028;11.65845034;-10.96637038;-11.66159193
4.22;10.97808677;11.65845034;-10.96940045;-11.66159193
4.23;10.98099196;11.65845034;-10.97239823;-11.66159193
4.24;10.98386618;11.65845034;-10.97536406;-11.66159193
4.25;10.98670977;11.65845034;-10.97829827;-11.66159193
4.26;10.98952305;11.65845034;-10.98120121;-11.66159193
4.27;10.99230633;11.65845034;-10.9840732;-11.66159193
4.28;10.99505995;11.65845034;-10.98691458;-11.66159193
4.29;10.99778422;11.65845034;-10.98972567;-11.66159193
4.3;11.00047945;11.65845034;-10.9925068;-11.66159193
4.31;11.00314595;11.65845034;-10.99525828;-11.66159193
4.32;11.00578403;11.65845034;-10.99798044;-11.66159193
4.33;11.00839398;11.65845034;-11.00067358;-11.66159193
4.34;11.01097612;11.65845034;-11.00333801;-11.66159193
4.35;11.01353073;11.65845034;-11.00597404;-11.66159193
4.36;11.01605811;11.65845034;-11.00858197;-11.66159193
4.37;11.01855856;11.65845034;-11.0111621;-11.66159193
4.38;11.02103235;11.65845034;-11.01371473;-11.66159193
4.39;11.02347977;11.65845034;-11.01624015;-11.66159193
4.4;11.0259011;11.65845034;-11.01873865;-11.66159193
4.41;11.02829662;11.65845034;-11.02121052;-11.66159193
4.42;11.03066661;11.65845034;-11.02365604;-11.66159193
4.43;11.03301134;11.65845034;-11.0260755;-11.66159193
4.44;11.03533107;11.65845034;-11.02846916;-11.66159193
4.45;11.03762607;11.65845034;-11.03083731;-11.66159193
4.46;11.03989662;11.65845034;-11.03318022;-11.66159193
4.47;11.04214296;11.65845034;-11.03549815;-11.66159193
4.48;11.04436535;11.65845034;-11.03779137;-11.66159193
4.49;11.04656406;11.65845034;-11.04006015;-11.66159193
4.5;11.04873933;11.65845034;-11.04230475;-11.66159193
4.51;11.05089141;11.65845034;-11.04452542;-11.66159193
4.52;11.05302056;11.65845034;-11.04672242;-11.66159193
4.53;11.05512701;11.65845034;-11.04889601;-11.66159193
4.54;11.057211;11.65845034;-11.05104642;-11.66159193
4.55;11.05927278;11.65845034;-11.05317391;-11.66159193
4.56;11.06131259;11.65845034;-11.05527872;-11.66159193
