Zeit [s];r [rad];d;y2Systune [rad];y2Genetic [rad];y2DifferentialEvol [rad]
3.3;31.415927;0;22.29588306;29.7194665;30.03990895
3.31;31.415927;0;22.29588306;29.7194665;30.04305055
3.32;31.415927;0;22.3649981;29.7194665;30.04305055
3.33;31.415927;0;22.42782995;29.7194665;30.04305055
3.34;31.415927;0;22.42782995;29.7194665;30.04305055
3.35;31.415927;0;22.50008659;29.7194665;30.04305055
3.36;31.415927;0;22.56291844;29.7194665;30.04305055
3.37;31.415927;0;22.56291844;29.7194665;30.04305055
3.38;31.415927;0;22.63517507;29.7194665;30.04305055
3.39;31.415927;0;22.63517507;29.7194665;30.04305055
3.4;31.415927;0;22.69172374;29.7194665;30.03990895
3.41;31.415927;0;22.76083878;29.7194665;30.03990895
3.42;31.415927;0;22.76083878;29.7194665;30.03990895
3.43;31.415927;0;22.81738744;29.7194665;30.03990895
3.44;31.415927;0;22.88336089;29.7194665;30.03990895
3.45;31.415927;0;22.88336089;29.7194665;30.03990895
3.46;31.415927;0;22.94933433;29.7194665;30.03990895
3.47;31.415927;0;23.00902459;29.7194665;30.03990895
3.48;31.415927;0;23.00902459;29.7194665;30.03990895
3.49;31.415927;0;23.07813963;29.7194665;30.03990895
3.5;31.415927;0;23.13782989;29.7194665;30.03990895
3.51;31.415927;0;23.13782989;29.7194665;30.04305055
3.52;31.415927;0;23.20066175;29.7194665;30.04305055
3.53;31.415927;0;23.20066175;29.7194665;30.04305055
3.54;31.415927;0;23.2634936;29.7194665;30.04305055
3.55;31.415927;0;23.31690067;29.7194665;30.04305055
3.56;31.415927;0;23.31690067;29.7194665;30.03990895
3.57;31.415927;0;23.37973253;29.7194665;30.03990895
3.58;31.415927;0;23.4362812;29.7194665;30.03990895
3.59;31.415927;0;23.4362812;29.7194665;30.03990895
3.6;31.415927;0;23.49597146;29.7194665;30.03990895
3.61;31.415927;0;23.49597146;29.7194665;30.03990895
3.62;31.415927;0;23.55252012;29.7194665;30.03990895
3.63;31.415927;0;23.6059272;29.7194665;30.03990895
3.64;31.415927;0;23.6059272;29.7194665;30.03990895
3.65;31.415927;0;23.66561746;29.7194665;30.03990895
3.66;31.415927;0;23.71902453;29.7194665;30.03990895
3.67;31.415927;0;23.71902453;29.7194665;30.03990895
3.68;31.415927;0;23.7787148;29.7194665;30.03990895
3.69;31.415927;0;23.7787148;29.7194665;30.03990895
3.7;31.415927;0;23.83212187;29.7194665;30.04305055
3.71;31.415927;0;23.88238735;29.7194665;30.04305055
3.72;31.415927;0;23.88238735;29.7194665;30.04305055
3.73;31.415927;0;23.93893602;29.7194665;30.03990895
3.74;31.415927;0;23.9892015;29.7194665;30.03990895
3.75;31.415927;0;23.9892015;29.7194665;30.03990895
3.76;31.415927;0;24.04260858;29.7194665;30.03990895
3.77;31.415927;0;24.04260858;29.7194665;30.03990895
3.78;31.415927;0;24.09287406;29.7194665;30.03990895
3.79;31.415927;0;24.13999795;29.7194665;30.03990895
3.8;31.415927;0;24.13999795;29.7194665;30.03990895
3.81;31.415927;0;24.19340503;29.7194665;30.03990895
3.82;31.415927;0;24.23738732;29.7194665;30.03990895
3.83;31.415927;0;24.23738732;29.7194665;30.03990895
3.84;31.415927;0;24.2876528;29.7194665;30.03990895
3.85;31.415927;0;24.2876528;29.7194665;30.03990895
3.86;31.415927;0;24.3316351;29.7194665;30.03990895
3.87;31.415927;0;24.37875899;29.7194665;30.03990895
3.88;31.415927;0;24.37875899;29.7194665;30.03990895
3.89;31.415927;0;24.42588288;29.7194665;30.03990895
3.9;31.415927;0;24.46986518;29.7194665;30.03990895
3.91;31.415927;0;24.46986518;29.7194665;30.03990895
3.92;31.415927;0;24.51698907;29.7194665;30.03990895
3.93;31.415927;0;24.56097137;29.7194665;30.03990895
3.94;31.415927;0;24.56097137;29.7194665;30.03990895
3.95;31.415927;0;24.60809526;29.7194665;30.03990895
3.96;31.415927;0;24.64893596;29.7194665;30.03990895
3.97;31.415927;0;24.64893596;29.7194665;30.03990895
3.98;31.415927;0;24.69291826;29.7194665;30.03990895
3.99;31.415927;0;24.69291826;29.7194665;30.03990895
4;31.415927;0;24.73061737;29.7194665;30.03990895
4.01;31.415927;0;24.77145807;29.7194665;30.03990895
4.02;31.415927;0;24.77145807;29.7194665;30.03990895
4.03;31.415927;0;24.81544037;29.7194665;30.03990895
4.04;31.415927;0;24.85313948;29.7194665;30.03990895
4.05;31.415927;0;24.85313948;29.7194665;30.03990895
4.06;31.415927;0;24.89712178;29.7194665;30.03990895
4.07;31.415927;0;24.93482089;29.7194665;30.03990895
4.08;31.415927;0;24.93482089;29.7194665;30.03990895
4.09;31.415927;0;24.9756616;29.7194665;30.03990895
4.1;31.415927;0;25.01021912;29.7194665;30.03990895
4.11;31.415927;0;25.01021912;29.7194665;30.03990895
4.12;31.415927;0;25.04791823;29.7194665;30.04305055
4.13;31.415927;0;25.08247575;29.7194665;30.04305055
4.14;31.415927;0;25.08247575;29.7194665;30.04305055
4.15;31.415927;0;25.12331645;29.7194665;30.04305055
4.16;31.415927;0;25.15787397;29.7194665;30.04305055
4.17;31.415927;0;25.15787397;29.7194665;30.04305055
4.18;31.415927;0;25.19557308;29.7194665;30.04305055
4.19;31.415927;0;25.22698901;29.7194665;30.04305055
4.2;31.415927;0;25.22698901;29.7194665;30.04305055
4.21;31.415927;0;25.26468812;29.7194665;30.04305055
4.22;31.415927;0;25.29610405;29.7194665;30.04305055
4.23;31.415927;0;25.29610405;29.7194665;30.04305055
4.24;31.415927;0;25.33066157;29.7194665;30.04305055
4.25;31.415927;0;25.36207749;29.7194665;30.04305055
4.26;31.415927;0;25.36207749;29.7194665;30.04305055
4.27;31.415927;0;25.39663501;29.7194665;30.04305055
4.28;31.415927;0;25.42805094;29.7194665;30.04305055
4.29;31.415927;0;25.42805094;29.7194665;30.04305055
4.3;31.415927;0;25.46260846;29.7194665;30.04305055
4.31;31.415927;0;25.49088279;29.7194665;30.04305055
4.32;31.415927;0;25.49088279;29.7194665;30.04305055
4.33;31.415927;0;25.5285819;29.7194665;30.03990895
4.34;31.415927;0;25.5285819;29.7194665;30.03990895
4.35;31.415927;0;25.55999783;29.7194665;30.04305055
4.36;31.415927;0;25.59455535;29.7194665;30.04305055
4.37;31.415927;0;25.59455535;29.7194665;30.04305055
4.38;31.415927;0;25.62597128;29.7194665;30.04305055
4.39;31.415927;0;25.6573872;29.7194665;30.04305055
4.4;31.415927;0;25.6573872;29.7194665;30.04305055
4.41;31.415927;0;25.68880313;29.7194665;30.04305055
4.42;31.415927;0;25.68880313;29.7194665;30.04305055
4.43;31.415927;0;25.72021905;29.7194665;30.04305055
4.44;31.415927;0;25.74849339;29.7194665;30.04305055
4.45;31.415927;0;25.74849339;29.7194665;30.04305055
4.46;31.415927;0;25.77990932;29.7194665;30.04305055
4.47;31.415927;0;25.80818365;29.7194665;30.04305055
4.48;31.415927;0;25.80818365;29.7194665;30.04305055
4.49;31.415927;0;25.83959958;29.7194665;30.04305055
4.5;31.415927;0;25.86473232;29.7194665;30.04305055
4.51;31.415927;0;25.86473232;29.7194665;30.04305055
4.52;31.415927;0;25.89300665;29.7194665;30.04305055
4.53;31.415927;0;25.91813939;29.7194665;30.04305055
4.54;31.415927;0;25.91813939;29.7194665;30.04305055
4.55;31.415927;0;25.94641373;29.7194665;30.04305055
4.56;31.415927;0;25.97154647;29.7194665;30.04305055
4.57;31.415927;0;25.97154647;29.7194665;30.04305055
4.58;31.415927;0;25.99667921;29.7194665;30.04305055
4.59;31.415927;0;26.02181195;29.7194665;30.04305055
4.6;31.415927;0;26.02181195;29.7194665;30.04305055
4.61;31.415927;0;26.05008628;29.7194665;30.04305055
4.62;31.415927;0;26.07207743;29.7194665;30.04305055
4.63;31.415927;0;26.07207743;29.7194665;30.04305055
4.64;31.415927;0;26.09721017;29.7194665;30.04305055
4.65;31.415927;0;26.12234291;29.7194665;30.04305055
4.66;31.415927;0;26.12234291;29.7194665;30.04305055
4.67;31.415927;0;26.14747566;29.7194665;30.04305055
4.68;31.415927;0;26.14747566;29.7194665;30.04305055
4.69;31.415927;0;26.1694668;29.7194665;30.04305055
4.7;31.415927;0;26.19459955;29.7194665;30.04305055
4.71;31.415927;0;26.19459955;29.7194665;30.04305055
4.72;31.415927;0;26.21659069;29.7194665;30.04305055
4.73;31.415927;0;26.23858184;29.7194665;30.04305055
4.74;31.415927;0;26.23858184;29.7194665;30.04305055
4.75;31.415927;0;26.26371458;29.7194665;30.04305055
4.76;31.415927;0;26.28570573;29.7194665;30.04305055
4.77;31.415927;0;26.28570573;29.7194665;30.04305055
4.78;31.415927;0;26.30769688;29.7194665;30.04305055
4.79;31.415927;0;26.30769688;29.7194665;30.04305055
4.8;31.415927;0;26.32968803;29.7194665;30.04305055
4.81;31.415927;0;26.35167918;29.7194665;30.04305055
4.82;31.415927;0;26.35167918;29.7194665;30.04305055
4.83;31.415927;0;26.37367033;29.7194665;30.04305055
4.84;31.415927;0;26.39251988;29.7194665;30.04305055
4.85;31.415927;0;26.39251988;29.7194665;30.04305055
4.86;31.415927;0;26.41451103;29.7194665;30.04305055
4.87;31.415927;0;26.41451103;29.7194665;30.04305055
4.88;31.415927;0;26.43650218;29.7194665;30.04305055
4.89;31.415927;0;26.45535174;29.7194665;30.04305055
4.9;31.415927;0;26.45535174;29.7194665;30.04305055
4.91;31.415927;0;26.47420129;29.7194665;30.04305055
4.92;31.415927;0;26.49305085;29.7194665;30.04305055
