Zeit [s];r [rad];u1;d;y2 [rad]
3.96;31.415927;-1.287672066;0;29.7194665
3.97;31.415927;-1.288532104;0;29.7194665
3.98;31.415927;-1.289357879;0;29.7194665
3.99;31.415927;-1.290150756;0;29.7194665
4;31.415927;-1.290912047;0;29.7194665
4.01;31.415927;-1.291643014;0;29.7194665
4.02;31.415927;-1.292344864;0;29.7194665
4.03;31.415927;-1.29301876;0;29.7194665
4.04;31.415927;-1.293665817;0;29.7194665
4.05;31.415927;-1.294287104;0;29.7194665
4.06;31.415927;-1.29488365;0;29.7194665
4.07;31.415927;-1.295456441;0;29.7194665
4.08;31.415927;-1.296006426;0;29.7194665
4.09;31.415927;-1.296534513;0;29.7194665
4.1;31.415927;-1.297041577;0;29.7194665
4.11;31.415927;-1.297528455;0;29.7194665
4.12;31.415927;-1.297995953;0;29.7194665
4.13;31.415927;-1.298444843;0;29.7194665
4.14;31.415927;-1.298875869;0;29.7194665
4.15;31.415927;-1.299289742;0;29.7194665
4.16;31.415927;-1.299687147;0;29.7194665
4.17;31.415927;-1.30006874;0;29.7194665
4.18;31.415927;-1.300435152;0;29.7194665
4.19;31.415927;-1.300786989;0;29.7194665
4.2;31.415927;-1.301124831;0;29.7194665
4.21;31.415927;-1.301449238;0;29.7194665
4.22;31.415927;-1.301760745;0;29.7194665
4.23;31.415927;-1.302059867;0;29.7194665
4.24;31.415927;-1.302347097;0;29.7194665
4.25;31.415927;-1.30262291;0;29.7194665
4.26;31.415927;-1.302887761;0;29.7194665
4.27;31.415927;-1.303142088;0;29.7194665
4.28;31.415927;-1.30338631;0;29.7194665
4.29;31.415927;-1.30362083;0;29.7194665
4.3;31.415927;-1.303846035;0;29.7194665
4.31;31.415927;-1.304062297;0;29.7194665
4.32;31.415927;-1.304269973;0;29.7194665
4.33;31.415927;-1.304469404;0;29.7194665
4.34;31.415927;-1.304660921;0;29.7194665
4.35;31.415927;-1.304844838;0;29.7194665
4.36;31.415927;-1.305021458;0;29.7194665
4.37;31.415927;-1.305191073;0;29.7194665
4.38;31.415927;-1.305353962;0;29.7194665
4.39;31.415927;-1.305510393;0;29.7194665
4.4;31.415927;-1.305660624;0;29.7194665
4.41;31.415927;-1.305804903;0;29.7194665
4.42;31.415927;-1.305943465;0;29.7194665
4.43;31.415927;-1.306076541;0;29.7194665
4.44;31.415927;-1.306204348;0;29.7194665
4.45;31.415927;-1.306327096;0;29.7194665
4.46;31.415927;-1.306444988;0;29.7194665
4.47;31.415927;-1.306558217;0;29.7194665
4.48;31.415927;-1.306666969;0;29.7194665
4.49;31.415927;-1.306771422;0;29.7194665
4.5;31.415927;-1.306871748;0;29.7194665
4.51;31.415927;-1.306968112;0;29.7194665
4.52;31.415927;-1.307060672;0;29.7194665
4.53;31.415927;-1.307149579;0;29.7194665
4.54;31.415927;-1.30723498;0;29.7194665
4.55;31.415927;-1.307317013;0;29.7194665
4.56;31.415927;-1.307395813;0;29.7194665
4.57;31.415927;-1.30747151;0;29.7194665
4.58;31.415927;-1.307544227;0;29.7194665
4.59;31.415927;-1.307614083;0;29.7194665
4.6;31.415927;-1.307681191;0;29.7194665
4.61;31.415927;-1.307745662;0;29.7194665
4.62;31.415927;-1.307807601;0;29.7194665
4.63;31.415927;-1.307867109;0;29.7194665
4.64;31.415927;-1.307924283;0;29.7194665
4.65;31.415927;-1.307979215;0;29.7194665
4.66;31.415927;-1.308031995;0;29.7194665
4.67;31.415927;-1.30808271;0;29.7194665
4.68;31.415927;-1.308131441;0;29.7194665
4.69;31.415927;-1.308178267;0;29.7194665
4.7;31.415927;-1.308223265;0;29.7194665
4.71;31.415927;-1.308266508;0;29.7194665
4.72;31.415927;-1.308308065;0;29.7194665
4.73;31.415927;-1.308348003;0;29.7194665
4.74;31.415927;-1.308386388;0;29.7194665
4.75;31.415927;-1.308423282;0;29.7194665
4.76;31.415927;-1.308458742;0;29.7194665
4.77;31.415927;-1.308492828;0;29.7194665
4.78;31.415927;-1.308525594;0;29.7194665
4.79;31.415927;-1.308557091;0;29.7194665
4.8;31.415927;-1.308587372;0;29.7194665
4.81;31.415927;-1.308616484;0;29.7194665
4.82;31.415927;-1.308644474;0;29.7194665
4.83;31.415927;-1.308671387;0;29.7194665
4.84;31.415927;-1.308697266;0;29.7194665
4.85;31.415927;-1.308722152;0;29.7194665
4.86;31.415927;-1.308746085;0;29.7194665
4.87;31.415927;-1.308769102;0;29.7194665
4.88;31.415927;-1.30879124;0;29.7194665
4.89;31.415927;-1.308812535;0;29.7194665
4.9;31.415927;-1.308833019;0;29.7194665
4.91;31.415927;-1.308852726;0;29.7194665
4.92;31.415927;-1.308871686;0;29.7194665
4.93;31.415927;-1.308889929;0;29.7194665
4.94;31.415927;-1.308907483;0;29.7194665
4.95;31.415927;-1.308924377;0;29.7194665
4.96;31.415927;-1.308940636;0;29.7194665
4.97;31.415927;-1.308956285;0;29.7194665
