time;u;z;y1;y2
7.78;0;0;-0.018849556;0.025132741
7.8;0;0;-0.021991149;0.031415927
7.82;0;0;-0.021991149;0.031415927
7.84;0;0;-0.025132741;0.037699112
7.86;0;0;-0.028274334;0.037699112
7.88;0;0;-0.028274334;0.037699112
7.9;0;0;-0.028274334;0.037699112
7.92;0;0;-0.025132741;0.034557519
7.94;0;0;-0.025132741;0.031415927
7.96;0;0;-0.025132741;0.031415927
7.98;0;0;-0.025132741;0.028274334
8;0;0;-0.025132741;0.028274334
8.02;0;0;-0.025132741;0.028274334
8.04;0;0;-0.025132741;0.025132741
8.06;0;0;-0.025132741;0.025132741
8.08;0;0;-0.025132741;0.028274334
8.1;0;0;-0.025132741;0.028274334
8.12;0;0;-0.025132741;0.028274334
8.14;0;0;-0.025132741;0.028274334
8.16;0;0;-0.025132741;0.028274334
8.18;0;0;-0.025132741;0.028274334
8.2;0;0;-0.025132741;0.028274334
8.22;0;0;-0.025132741;0.028274334
8.24;0;0;-0.025132741;0.028274334
8.26;0;0;-0.025132741;0.028274334
8.28;0;0;-0.025132741;0.028274334
8.3;0;0;-0.025132741;0.028274334
8.32;0;0;-0.025132741;0.028274334
8.34;0;0;-0.025132741;0.028274334
8.36;0;0;-0.025132741;0.028274334
8.38;0;0;-0.025132741;0.028274334
8.4;0;0;-0.025132741;0.028274334
8.42;0;0;-0.025132741;0.028274334
8.44;0;0;-0.025132741;0.028274334
8.46;0;0;-0.025132741;0.028274334
8.48;0;0;-0.025132741;0.028274334
8.5;0;0;-0.025132741;0.028274334
8.52;0;0;-0.025132741;0.028274334
8.54;0;0;-0.025132741;0.028274334
8.56;0;0;-0.025132741;0.028274334
8.58;0;0;-0.025132741;0.028274334
8.6;0;0;-0.025132741;0.028274334
8.62;0;0;-0.025132741;0.028274334
8.64;0;0;-0.025132741;0.028274334
8.66;0;0;-0.025132741;0.028274334
8.68;0;0;-0.025132741;0.028274334
8.7;0;0;-0.025132741;0.028274334
8.72;0;0;-0.025132741;0.028274334
8.74;0;0;-0.025132741;0.028274334
8.76;0;0;-0.025132741;0.028274334
8.78;0;0;-0.025132741;0.028274334
8.8;0;0;-0.025132741;0.028274334
8.82;0;0;-0.025132741;0.028274334
8.84;0;0;-0.025132741;0.028274334
8.86;0;0;-0.025132741;0.028274334
8.88;0;0;-0.025132741;0.028274334
8.9;0;0;-0.025132741;0.028274334
8.92;0;0;-0.025132741;0.028274334
8.94;0;0;-0.025132741;0.028274334
8.96;0;0;-0.025132741;0.028274334
8.98;0;0;-0.025132741;0.028274334
9;0;0;-0.025132741;0.028274334
9.02;0;0;-0.025132741;0.028274334
9.04;0;0;-0.025132741;0.028274334
9.06;0;0;-0.025132741;0.028274334
9.08;0;0;-0.025132741;0.028274334
9.1;0;0;-0.025132741;0.028274334
9.12;0;0;-0.025132741;0.028274334
9.14;0;0;-0.025132741;0.028274334
9.16;0;0;-0.025132741;0.028274334
9.18;0;0;-0.025132741;0.028274334
9.2;0;0;-0.025132741;0.028274334
9.22;0;0;-0.025132741;0.028274334
9.24;0;0;-0.025132741;0.028274334
9.26;0;0;-0.025132741;0.028274334
9.28;0;0;-0.025132741;0.028274334
9.3;0;0;-0.025132741;0.028274334
9.32;0;0;-0.025132741;0.028274334
9.34;0;0;-0.025132741;0.028274334
9.36;0;0;-0.025132741;0.028274334
9.38;0;0;-0.025132741;0.028274334
9.4;0;0;-0.025132741;0.028274334
9.42;0;0;-0.025132741;0.028274334
9.44;0;0;-0.025132741;0.028274334
9.46;0;0;-0.025132741;0.028274334
9.48;0;0;-0.025132741;0.028274334
9.5;0;0;-0.025132741;0.028274334
9.52;0;0;-0.025132741;0.028274334
9.54;0;0;-0.025132741;0.028274334
9.56;0;0;-0.025132741;0.028274334
9.58;0;0;-0.025132741;0.028274334
9.6;0;0;-0.025132741;0.028274334
9.62;0;0;-0.025132741;0.028274334
9.64;0;0;-0.025132741;0.028274334
9.66;0;0;-0.025132741;0.028274334
9.68;0;0;-0.025132741;0.028274334
9.7;0;0;-0.025132741;0.028274334
9.72;0;0;-0.025132741;0.028274334
9.74;0;0;-0.025132741;0.028274334
9.76;0;0;-0.025132741;0.028274334
9.78;0;0;-0.025132741;0.028274334
9.8;0;0;-0.025132741;0.028274334
9.82;0;0;-0.025132741;0.028274334
9.84;0;0;-0.025132741;0.028274334
9.86;0;0;-0.025132741;0.028274334
9.88;0;0;-0.025132741;0.028274334
9.9;0;0;-0.025132741;0.028274334
9.92;0;0;-0.025132741;0.028274334
9.94;0;0;-0.025132741;0.028274334
9.96;0;0;-0.025132741;0.028274334
9.98;0;0;-0.025132741;0.028274334
10;0;0;-0.025132741;0.028274334
10.02;0;0;-0.025132741;0.028274334
10.04;0;0;-0.025132741;0.028274334
10.06;0;0;-0.025132741;0.028274334
10.08;0;0;-0.025132741;0.028274334
10.1;0;0;-0.025132741;0.028274334
10.12;0;0;-0.025132741;0.028274334
10.14;0;0;-0.025132741;0.028274334
10.16;0;0;-0.025132741;0.028274334
10.18;0;0;-0.025132741;0.028274334
10.2;0;0;-0.025132741;0.028274334
10.22;0;0;-0.025132741;0.028274334
10.24;0;0;-0.025132741;0.028274334
10.26;0;0;-0.025132741;0.028274334
10.28;0;0;-0.025132741;0.028274334
10.3;0;0;-0.025132741;0.028274334
10.32;0;0;-0.025132741;0.028274334
10.34;0;0;-0.025132741;0.028274334
10.36;0;0;-0.025132741;0.028274334
10.38;0;0;-0.025132741;0.028274334
10.4;0;0;-0.025132741;0.028274334
10.42;0;0;-0.025132741;0.028274334
10.44;0;0;-0.025132741;0.028274334
10.46;0;0;-0.025132741;0.028274334
10.48;0;0;-0.025132741;0.028274334
10.5;0;0;-0.025132741;0.028274334
10.52;0;0;-0.025132741;0.028274334
10.54;0;0;-0.025132741;0.028274334
10.56;0;0;-0.025132741;0.028274334
10.58;0;0;-0.025132741;0.028274334
10.6;0;0;-0.025132741;0.028274334
10.62;0;0;-0.025132741;0.028274334
10.64;0;0;-0.025132741;0.028274334
10.66;0;0;-0.025132741;0.028274334
10.68;0;0;-0.025132741;0.028274334
10.7;0;0;-0.025132741;0.028274334
10.72;0;0;-0.025132741;0.028274334
10.74;0;0;-0.025132741;0.028274334
10.76;0;0;-0.025132741;0.028274334
10.78;0;0;-0.025132741;0.028274334
10.8;0;0;-0.025132741;0.028274334
10.82;0;0;-0.025132741;0.028274334
10.84;0;0;-0.025132741;0.028274334
10.86;0;0;-0.025132741;0.028274334
10.88;0;0;-0.025132741;0.028274334
10.9;0;0;-0.025132741;0.028274334
10.92;0;0;-0.025132741;0.028274334
10.94;0;0;-0.025132741;0.028274334
10.96;0;0;-0.025132741;0.028274334
10.98;0;0;-0.025132741;0.028274334
11;0;2000;-0.025132741;0.028274334
11.02;0;2000;-0.025132741;0.028274334
11.04;0;2000;-0.025132741;0.040840704
11.06;0;2000;-0.025132741;0.053407075
11.08;0;2000;-0.028274334;0.069115038
11.1;0;2000;-0.034557519;0.109955743
11.12;0;2000;-0.040840704;0.135088484
11.14;0;2000;-0.053407075;0.160221225
11.16;0;2000;-0.069115038;0.185353967
11.18;0;2000;-0.113097336;0.232477856
11.2;0;2000;-0.144513262;0.257610598
11.22;0;2000;-0.179070781;0.279601746
11.24;0;2000;-0.216769893;0.304734487
11.26;0;2000;-0.295309709;0.35499997
11.28;0;2000;-0.342433599;0.389557489
11.3;0;2000;-0.386415896;0.420973416
11.32;0;2000;-0.433539786;0.464955713
11.34;0;2000;-0.518362788;0.552920307
11.36;0;2000;-0.56862827;0.609468975
11.38;0;2000;-0.612610567;0.659734457
11.4;0;2000;-0.666017643;0.72256631
11.42;0;2000;-0.763407015;0.845088424
11.44;0;2000;-0.823097275;0.917345055
11.46;0;2000;-0.87650435;0.973893723
11.48;0;2000;-0.939336203;1.039867168
11.5;0;0;-1.07756628;1.174955652
11.52;0;0;-1.149822911;1.244070691
11.54;0;0;-1.225221135;1.303760951
11.56;0;0;-1.382300768;1.423141472
11.58;0;0;-1.470265362;1.482831732
11.6;0;0;-1.545663586;1.536238808
11.62;0;0;-1.630486587;1.595929068
11.64;0;0;-1.774999849;1.712167996
11.66;0;0;-1.84725648;1.781283035
11.68;0;0;-1.903805148;1.837831702
11.7;0;0;-1.966637001;1.910088333
11.72;0;0;-2.073451151;2.054601595
11.74;0;0;-2.123716634;2.123716634
11.76;0;0;-2.170840524;2.192831672
11.78;0;0;-2.271371489;2.265088303
11.8;0;0;-2.331061749;2.397035195
11.82;0;0;-2.387610417;2.456725455
11.84;0;0;-2.437875899;2.506990938
11.86;0;0;-2.560398013;2.601238717
11.88;0;0;-2.626371458;2.654645792
11.9;0;0;-2.686061719;2.698628089
11.92;0;0;-2.752035165;2.745751979
11.94;0;0;-2.8651325;2.836858166
11.96;0;0;-2.921681168;2.890265241
11.98;0;0;-2.968805058;2.937389131
12;0;0;-3.015928947;2.990796206
12.02;0;0;-3.100751949;3.097610356
12.04;0;0;-3.147875839;3.154159024
12.06;0;0;-3.182433358;3.201282914
12.08;0;0;-3.223274063;3.251548396
12.1;0;0;-3.304955472;3.339512991
12.12;0;0;-3.352079361;3.386636881
12.14;0;0;-3.392920066;3.424335992
12.16;0;0;-3.440043956;3.465176697
12.18;0;0;-3.52800855;3.537433328
12.2;0;0;-3.571990847;3.57513244
12.22;0;0;-3.609689959;3.606548366
12.24;0;0;-3.650530663;3.647389071
12.26;0;0;-3.719645702;3.719645702
12.28;0;0;-3.754203221;3.760486406
12.3;0;0;-3.782477555;3.795043926
12.32;0;0;-3.813893481;3.832743037
12.34;0;0;-3.870442149;3.898716483
12.36;0;0;-3.901858076;3.93013241
12.38;0;0;-3.933274002;3.958406744
12.4;0;0;-3.964689929;3.986681077
12.42;0;0;-4.024380189;4.040088153
12.44;0;0;-4.052654523;4.065220894
12.46;0;0;-4.077787264;4.087212042
12.48;0;0;-4.106061598;4.112344784
12.5;0;0;-4.150043895;4.159468673
12.52;0;0;-4.168893451;4.184601415
12.54;0;0;-4.187743007;4.206592563
12.56;0;0;-4.225442119;4.244291675
12.58;0;0;-4.244291675;4.263141231
12.6;0;0;-4.263141231;4.281990787
12.62;0;0;-4.278849194;4.29769875
12.64;0;0;-4.310265121;4.325973084
12.66;0;0;-4.325973084;4.341681047
12.68;0;0;-4.338539455;4.351105825
12.7;0;0;-4.351105825;4.363672196
12.72;0;0;-4.369955381;4.385663344
12.74;0;0;-4.379380159;4.398229715
12.76;0;0;-4.385663344;4.407654493
12.78;0;0;-4.39194653;4.413937678
12.8;0;0;-4.4045129;4.423362456
12.82;0;0;-4.410796086;4.429645642
12.84;0;0;-4.413937678;4.429645642
12.86;0;0;-4.417079271;4.432787234
12.88;0;0;-4.420220864;4.435928827
12.9;0;0;-4.420220864;4.435928827
12.92;0;0;-4.417079271;4.435928827
12.94;0;0;-4.417079271;4.435928827
12.96;0;0;-4.417079271;4.429645642
12.98;0;0;-4.417079271;4.429645642
13;0;0;-4.417079271;4.426504049
13.02;0;0;-4.417079271;4.426504049
13.04;0;0;-4.417079271;4.423362456
13.06;0;0;-4.413937678;4.423362456
13.08;0;0;-4.413937678;4.423362456
13.1;0;0;-4.413937678;4.426504049
