time;u;y;z1;z2
4.77;10;8.98927686656595;1;0
4.78;10;8.96704331783761;1;0
4.79;10;9.00925484418136;1;0
4.8;10;9.04695523755905;1;0
4.81;10;9.00603258932386;1;0
4.82;10;8.98895464116939;1;0
4.83;10;8.96639886725976;1;0
4.84;10;9.00603258932386;1;0
4.85;10;9.0446996578692;1;0
4.86;10;9.00699926576481;1;0
4.87;10;8.98734351420985;1;0
4.88;10;8.96059881233749;1;0
4.89;10;8.99958808007445;1;0
4.9;10;9.04373298088261;1;0
4.91;10;9.00861039319744;1;0
4.92;10;8.98927686656595;1;0
4.93;10;8.95673210933436;1;0
4.94;10;8.99572137482268;1;0
4.95;10;9.04308852956601;1;0
4.96;10;9.01247709919411;1;0
4.97;10;8.99217689520473;1;0
4.98;10;8.95576543361836;1;0
4.99;10;8.99249912061679;1;0
5;10;9.04308852956601;1;0
5.01;10;9.0131215502153;1;0
5.02;10;8.99572137482268;1;0
5.03;10;8.95544320838279;1;0
5.04;10;8.99056576816769;1;0
5.05;10;9.04179962695148;1;0
5.06;10;9.01473267779543;1;0
5.07;10;8.99572137482268;1;0
5.08;10;8.95640988409415;1;0
5.09;10;8.98831019038093;1;0
5.1;10;9.04276630391004;1;0
5.11;10;9.0160215798875;1;0
5.12;10;8.99668805111468;1;0
5.13;10;8.95254318133219;1;0
5.14;10;8.98734351420985;1;0
5.15;10;9.04212185260278;1;0
5.16;10;9.01731048200442;1;0
5.17;10;8.99733250198377;1;0
5.18;10;8.95415430745595;1;0
5.19;10;8.98347680966502;1;0
5.2;10;9.03793291925732;1;0
5.21;10;9.01892160968552;1;0
5.22;10;8.99926585462827;1;0
5.23;10;8.95028760482382;1;0
5.24;10;8.98347680966502;1;0
5.25;10;9.03825514488994;1;0
5.26;10;9.02117718850433;1;0
5.27;10;9.00023253097146;1;0
5.28;10;8.94996537961452;1;0
5.29;10;8.97799897860839;1;0
5.3;10;9.03761069362625;1;0
5.31;10;9.02375499296192;1;0
5.32;10;9.00538813837099;1;0
5.33;10;8.95125428046099;1;0
5.34;10;8.97896565464468;1;0
5.35;10;9.03664401674239;1;0
5.36;10;9.02762169983482;1;0
5.37;10;9.00828816770781;1;0
5.38;10;8.95125428046099;1;0
5.39;10;8.97671007724836;1;0
5.4;10;9.03696624236879;1;0
5.41;10;9.03116618133166;1;0
5.42;10;9.01473267779543;1;0
5.43;10;8.95447653268534;1;0
5.44;10;8.97896565464468;1;0
5.45;10;9.03599956549427;1;0
5.46;10;9.03438843740117;1;0
5.47;10;9.01473267779543;1;0
5.48;10;8.95383208222811;1;0
5.49;10;8.97638785191222;1;0
5.5;10;9.03793291925732;1;0
5.51;10;9.03567733987254;1;0
5.52;10;9.01698825647286;1;0
5.53;10;8.95673210933436;1;0
5.54;10;8.97961010534329;1;0
5.55;10;9.03535511425236;1;0
5.56;10;9.03632179111755;1;0
5.57;10;9.01698825647286;1;0
5.58;10;8.95608765885548;1;0
5.59;10;8.97703230258604;1;0
5.6;10;9.03535511425236;1;0
5.61;10;9.03599956549427;1;0
5.62;10;9.01763270753754;1;0
5.63;10;8.95608765885548;1;0
5.64;10;8.9741322746026;1;0
5.65;10;9.0324550837408;1;0
5.66;10;9.03728846799674;1;0
5.67;10;9.01698825647286;1;0
5.68;10;8.95705433457611;1;0
5.69;10;8.97348782395665;1;0
5.7;10;9.03181063253312;1;0
5.71;10;9.03728846799674;1;0
5.72;10;9.01763270753754;1;0
5.73;10;8.95447653268534;1;0
5.74;10;8.97509895058315;1;0
5.75;10;9.03019950454113;1;0
5.76;10;9.03857737052411;1;0
5.77;10;9.01988828631283;1;0
5.78;10;8.95576543361836;1;0
5.79;10;8.97155447205593;1;0
5.8;10;9.02891060217554;1;0
5.81;10;9.03922182179714;1;0
5.82;10;9.0185993841462;1;0
5.83;10;8.95383208222811;1;0
5.84;10;8.97091002143474;1;0
5.85;10;9.0260105719439;1;0
5.86;10;9.03793291925732;1;0
5.87;10;9.01956606076884;1;0
5.88;10;8.95544320838279;1;0
5.89;10;8.97091002143474;1;0
5.9;10;9.02794392541767;1;0
5.91;10;9.04083295000693;1;0
5.92;10;9.02149941405609;1;0
5.93;10;8.95673210933436;1;0
5.94;10;8.97284337331688;1;0
5.95;10;9.02278831627867;1;0
5.96;10;9.04147740130174;1;0
5.97;10;9.02407721852611;1;0
5.98;10;8.95963213656583;1;0
5.99;10;8.97058779612647;1;0
6;10;9.02504389522801;1;0
6.01;10;9.04276630391004;1;0
6.02;10;9.02504389522801;1;0
6.03;10;8.95866546080809;1;0
6.04;10;8.97058779612647;1;0
6.05;10;9.01892160968552;1;0
6.06;10;9.03825514488994;1;0
6.07;10;9.02439944409186;1;0
6.08;10;8.95866546080809;1;0
6.09;10;8.96865444430934;1;0
6.1;10;9.02053273740547;1;0
6.11;10;9.03664401674239;1;0
6.12;10;9.02504389522801;1;0
6.13;10;8.9599543618215;1;0
6.14;10;8.96768776842166;1;0
6.15;10;9.01215487368585;1;0
6.16;10;9.03503288863374;1;0
6.17;10;9.0260105719439;1;0
6.18;10;8.96446551556331;1;0
6.19;10;8.97026557081975;1;0
6.2;10;9.01118819717038;1;0
6.21;10;9.03696624236879;1;0
6.22;10;9.02762169983482;1;0
6.23;10;8.96575441668809;1;0
6.24;10;8.97381004927885;1;0
6.25;10;9.00861039319744;1;0
6.26;10;9.0330995349547;1;0
6.27;10;9.02697724867379;1;0
6.28;10;8.96478774084219;1;0
6.29;10;8.97316559863599;1;0
6.3;10;9.00667704028294;1;0
6.31;10;9.03213285813618;1;0
6.32;10;9.02858837658803;1;0
6.33;10;8.96510996612261;1;0
6.34;10;8.97574340124459;1;0
6.35;10;9.00635481480262;1;0
6.36;10;9.03116618133166;1;0
6.37;10;9.02955505335522;1;0
6.38;10;8.968009993716;1;0
6.39;10;8.97542117591309;1;0
6.4;10;9.00538813837099;1;0
6.41;10;9.03084395573326;1;0
6.42;10;9.03052173013642;1;0
6.43;10;8.97123224674456;1;0
6.44;10;8.9744544999279;1;0
6.45;10;9.00377701101596;1;0
6.46;10;9.0298772789474;1;0
6.47;10;9.0292328277646;1;0
6.48;10;8.97026557081975;1;0
6.49;10;8.97381004927885;1;0
6.5;10;8.99636582568246;1;0
6.51;10;9.02472166965915;1;0
6.52;10;9.02891060217554;1;0
6.53;10;8.97058779612647;1;0
6.54;10;8.9741322746026;1;0
6.55;10;8.99217689520473;1;0
6.56;10;9.02246609072069;1;0
6.57;10;9.03019950454113;1;0
6.58;10;8.97477672525475;1;0
6.59;10;8.97542117591309;1;0
6.6;10;8.98831019038093;1;0
6.61;10;9.01892160968552;1;0
6.62;10;9.03374398617483;1;0
6.63;10;8.97896565464468;1;0
6.64;10;8.97799897860839;1;0
6.65;10;8.98573238728905;1;0
6.66;10;9.0163438054144;1;0
6.67;10;9.03181063253312;1;0
6.68;10;8.98476571115517;1;0
6.69;10;8.97928787999321;1;0
6.7;10;8.9786434292977;1;0
6.71;10;9.01151042267398;1;0
6.72;10;9.03438843740117;1;0
6.73;10;8.98831019038093;1;0
6.74;10;8.98089900675908;1;0
6.75;10;8.97735452792528;1;0
6.76;10;9.00989929517149;1;0
6.77;10;9.03342176056399;1;0
6.78;10;8.99185466979422;1;0
6.79;10;8.98315458429635;1;0
6.8;10;8.97381004927885;1;0
6.81;10;9.00957706967565;1;0
6.82;10;9.03471066301668;1;0
6.83;10;8.99314357144556;1;0
6.84;10;8.98347680966502;1;0
6.85;10;8.96704331783761;1;0
6.86;10;9.00571036384665;1;0
6.87;10;9.03374398617483;1;0
6.88;10;8.99765472742064;1;0
6.89;10;8.98251013356367;1;0
6.9;10;8.96510996612261;1;0
6.91;10;9.00216588369973;1;0
6.92;10;9.03535511425236;1;0
6.93;10;8.99926585462827;1;0
6.94;10;8.98476571115517;1;0
6.95;10;8.96575441668809;1;0
6.96;10;9.00184365824114;1;0
6.97;10;9.03954404743598;1;0
6.98;10;9.00474368742432;1;0
6.99;10;8.98734351420985;1;0
7;10;8.96349883973597;1;1
7.01;10;8.99507692396909;1;1
7.02;10;8.90098716574471;1;1
7.03;10;8.8075419878048;1;1
7.04;10;8.72311921339104;1;1
7.05;10;8.61807422718576;1;1
7.06;10;8.56812958130645;1;1
7.07;10;8.54138504380036;1;1
7.08;10;8.51109606194794;1;1
7.09;10;8.47822930930648;1;1
7.1;10;8.40927362358962;1;1
7.11;10;8.36384024151407;1;1
7.12;10;8.29230689072565;1;1
7.13;10;8.25782913032391;1;1
7.14;10;8.20885140594407;1;1
7.15;10;8.19080698964394;1;1
7.16;10;8.18371811305713;1;1
7.17;10;8.17501812911439;1;1
7.18;10;8.16728481094104;1;1
7.19;10;8.14054042535183;1;1
7.2;10;8.12442935450116;1;1
7.21;10;8.08705168401065;1;1
7.22;10;8.07061840397492;1;1
7.23;10;8.03646297113891;1;1
7.24;10;8.0200297025855;1;1
7.25;10;7.99457425471584;1;1
7.26;10;7.9733076848423;1;1
7.27;10;7.94817447389764;1;1
7.28;10;7.94237450336959;1;1
7.29;10;7.93818563605219;1;1
7.3;10;7.94463004740914;1;1
7.31;10;7.95171890055808;1;1
7.32;10;7.95171890055808;1;1
7.33;10;7.95590776865125;1;1
7.34;10;7.9449522679919;1;1
7.35;10;7.95139667994547;1;1
7.36;10;7.93367454844024;1;1
7.37;10;7.93077456369374;1;1
7.38;10;7.91305243718337;1;1
7.39;10;7.91047467368446;1;1
7.4;10;7.89114145033049;1;1
7.41;10;7.88695258594166;1;1
7.42;10;7.85988608333731;1;1
7.43;10;7.85537500053784;1;1
7.44;10;7.83088627015827;1;1
7.45;10;7.83378625096305;1;1
7.46;10;7.82089744825806;1;1
7.47;10;7.82476408883337;1;1
7.48;10;7.82057522821925;1;1
7.49;10;7.8302418299949;1;1
7.5;10;7.83990843303627;1;1
7.51;10;7.84474173503193;1;1
7.52;10;7.86181940462168;1;1
7.53;10;7.86471938664343;1;1
7.54;10;7.87438599420797;1;1
7.55;10;7.86826380926963;1;1
7.56;10;7.88179706086791;1;1
7.57;10;7.87116379154533;1;1
7.58;10;7.87438599420797;1;1
