Zeit [s];r [v];l [v];ySystune [v];yGenetic [v];yDifferentialEvol [v]
;-;-;-;-;-
0;4;3;1;1;1
0;ebbd34;e0162e;3189f5;2cf533;cc2cf5
3.34;0;0;0.008990714;-0.000353019;-0.000675217
3.35;0;0;0.010279505;-0.000675217;-0.000675217
3.36;0;0;-0.005185985;-0.001319612;0.003191156
3.37;0;0;0.007701923;0.002224562;-0.000353019
3.38;0;0;0.003835551;-0.000675217;-0.000997415
3.39;0;0;-0.000675217;-0.000353019;0.000291376
3.4;0;0;0.001580167;-0.000353019;0.003191156
3.41;0;0;0.001257969;0.000613574;-0.000353019
3.42;0;0;-0.001319612;0.001580167;0.012212691
3.43;0;0;0.002868958;0.001902365;-0.001319612
3.44;0;0;0.000613574;-0.002286205;-0.004219391
3.45;0;0;0.00254676;0.001580167;-0.000675217
3.46;0;0;-0.00164181;0.000291376;-0.000353019
3.47;0;0;0.003513353;0.001902365;-0.000353019
3.48;0;0;-3.08E-05;-0.001319612;-0.002286205
3.49;0;0;0.002868958;0.000613574;-0.001964008
3.5;8;0;-0.001319612;-0.001964008;0.002224562
3.51;8;0;0.463934335;0.567360037;0.571548618
3.52;8;0;1.006194917;1.077400966;1.087711346
3.53;8;0;1.638995382;1.531380473;1.585187919
3.54;8;0;2.014681529;1.999215873;2.018870145
3.55;8;0;2.481551813;2.490895678;2.43096607
3.56;8;0;2.915236715;2.92651383;2.878505547
3.57;8;0;3.318313648;3.36567769;3.320891283
3.58;8;0;3.689493578;3.714625594;3.677249777
3.59;8;0;4.090317682;4.108683451;4.076140599
3.6;8;0;4.423801867;4.429279394;4.392869957
3.61;8;0;4.76308686;4.800463053;4.748587478
3.62;8;0;5.112039278;5.117839052;5.082073787
3.63;8;0;5.383984597;5.39107323;5.348219233
3.64;8;0;5.659475029;5.709095615;5.645942146
3.65;8;0;5.9736318;6.007786346;5.95011028
3.66;8;0;6.250735109;6.26040152;6.225924661
3.67;8;0;6.499806638;6.481762622;6.456307677
3.68;8;0;6.712468556;6.695391139;6.665425115
3.69;8;0;6.918042267;6.928675405;6.890976106
3.7;8;0;7.138438493;7.139405145;7.094616973
3.71;8;0;7.337246729;7.358513119;7.318558089
3.72;8;0;7.544433167;7.528322227;7.480633862
3.73;8;0;7.598888172;7.635298937;7.607265869
3.74;8;0;7.571177337;7.664943113;7.64722105
3.75;8;0;7.563766301;7.71553157;7.713598253
3.76;8;0;7.580199468;7.72390928;7.734542528
3.77;8;0;7.655598752;7.770631139;7.777397756
3.78;8;0;7.525744476;7.800275369;7.813486388
3.79;8;0;7.657209849;7.840552873;7.855375001
3.8;8;0;7.675576353;7.873097113;7.882119281
3.81;8;0;7.628532334;7.911441335;7.915630201
3.82;8;0;7.817675248;7.932063446;7.929163461
3.83;8;0;7.620476854;7.962352182;7.959452196
3.84;8;0;7.667198649;7.951074459;7.949785577
3.85;8;0;7.984907631;8.007140867;7.977818775
3.86;8;0;7.86890825;7.957518872;7.958485534
3.87;8;0;7.708764959;8.001018671;7.958485534
3.88;8;0;7.802853128;7.916919083;7.965252168
3.89;8;0;7.716820449;8.035818529;7.957518872
3.9;8;0;7.991029826;7.86923047;7.959129975
3.91;8;0;7.944307827;8.066107308;7.945274489
3.92;8;0;7.788353231;7.839908433;7.968474374
3.93;8;0;7.805753108;7.897263637;7.947530033
3.94;8;0;7.858919423;8.070618404;7.984585411
3.95;8;0;7.911119115;7.989096501;7.985552073
3.96;8;0;7.896619196;8.042262949;8.023574133
3.97;8;0;7.905641367;8.087373905;8.025185237
3.98;8;0;7.885341484;8.04258517;8.059018444
3.99;8;0;7.906608029;8.003274217;8.013585285
4;8;0;7.904674706;8.015196389;8.040007402
4.01;8;0;7.940118959;8.021640807;8.012618622
4.02;8;0;7.936896754;7.972663243;8.003596438
4.03;8;0;7.993285372;7.971374361;7.968152154
4.04;8;0;7.943985606;7.962352182;7.963963285
4.05;8;0;7.984585411;7.995540917;7.984585411
4.06;8;0;7.942052283;7.967507712;7.959129975
4.07;8;0;8.001663113;7.985874294;7.979752099
4.08;8;0;7.921107949;7.963641064;7.954618886
4.09;8;0;8.024863016;7.997152021;7.999729788
4.1;8;0;7.867297149;7.973629906;7.991029826
4.11;8;0;8.09124056;8.022929691;8.033240761
4.12;8;0;7.932707887;8.004240879;8.021318586
4.13;8;0;7.82959739;8.056440675;8.061273992
4.14;8;0;8.14150709;8.004240879;8.014229726
4.15;8;0;8.105418296;8.038074076;8.032274098
