time;u;y;z1;z2;r
4.17;5.510232989;8.197251424;0;0;8
4.18;8.805027398;7.886630366;0;0;8
4.19;8.067971014;7.961063299;0;0;8
4.2;6.004437205;8.149562627;0;0;8
4.21;8.302392894;7.932063446;0;0;8
4.22;5.979037025;8.14601819;0;0;8
4.23;7.119811603;8.03291854;0;0;8
4.24;9.603423786;7.807041988;0;0;8
4.25;9.101384372;7.866008268;0;0;8
4.26;7.7326737;7.998763125;0;0;8
4.27;7.468718223;8.02260747;0;0;8
4.28;7.858921872;7.985874294;0;0;8
4.29;7.372480691;8.030662994;0;0;8
4.3;8.268263724;7.947852253;0;0;8
4.31;7.05299009;8.06095177;0;0;8
4.32;8.354362096;7.939474518;0;0;8
4.33;7.009688772;8.064818424;0;0;8
4.34;7.352070994;8.02937411;0;0;8
4.35;7.962458739;7.972341023;0;0;8
4.36;7.40441304;8.024540796;0;0;8
4.37;8.451844162;7.92851902;0;0;8
4.38;7.502530862;8.01906304;0;0;8
4.39;8.454063002;7.932063446;0;0;8
4.4;7.111691392;8.05772956;0;0;8
4.41;8.906111511;7.892108111;0;0;8
4.42;6.678911752;8.100262755;0;0;8
4.43;7.011064923;8.063207318;0;0;8
4.44;8.779656409;7.89951918;0;0;8
4.45;8.845082067;7.900808061;0;0;8
4.46;7.939243343;7.989418722;0;0;8
4.47;7.48579142;8.030985215;0;0;8
4.48;7.565026587;8.021640807;0;0;8
4.49;7.411802485;8.033885203;0;0;8
4.5;0;8.027763005;0;0;0
4.51;0;7.73228699;0;0;0
4.52;0;7.179360082;0;0;0
4.53;0;6.639647898;0;0;0
4.54;0;6.185003547;0;0;0
4.55;0;5.77257134;0;0;0
4.56;0;5.404283865;0;0;0
4.57;0;5.018920738;0;0;0
4.58;0;4.615515472;0;0;0
4.59;0;4.295563382;0;0;0
4.6;0;3.971745773;0;0;0
4.61;0;3.680149624;0;0;0
4.62;0;3.392420661;0;0;0
4.63;0;3.162366864;0;0;0
4.64;0;2.905248414;0;0;0
4.65;0;2.704515942;0;0;0
4.66;0;2.480585206;0;0;0
4.67;0;2.285330786;0;0;0
4.68;0;2.118430353;0;0;0
4.69;0;1.95539652;0;0;0
4.7;0;1.788818652;0;0;0
4.71;0;1.638995382;0;0;0
4.72;0;1.523003268;0;0;0
4.73;0;1.396378636;0;0;0
4.74;0;1.275875892;0;0;0
4.75;0;1.15666203;0;0;0
4.76;0;1.058069004;0;0;0
4.77;0;0.961731425;0;0;0
4.78;0;0.883437042;0;0;0
4.79;0;0.800954105;0;0;0
4.8;0;0.727492768;0;0;0
4.81;0.45497223;0.657575644;0;0;0
4.82;0.359105119;0.619234006;0;0;0
4.83;0.325887625;0.577992588;0;0;0
4.84;0.171462115;0.550605714;0;0;0
4.85;0.21419123;0.507431119;0;0;0
4.86;0.269705905;0.466189724;0;0;0
4.87;0.246972384;0.434936484;0;0;0
4.88;0.195343278;0.408516224;0;0;0
4.89;0.239862136;0.375329803;0;0;0
4.9;0.206899995;0.351487135;0;0;0
4.91;0.264460122;0.321200507;0;0;0
4.92;0.235077909;0.300902024;0;0;0
4.93;0.279085205;0.275448374;0;0;0
4.94;0.225154548;0.260627262;0;0;0
4.95;0.208046495;0.243550766;0;0;0
4.96;0.286830644;0.219063716;0;0;0
4.97;0.245429874;0.20714239;0;0;0
4.98;0.234970315;0.193287877;0;0;0
4.99;0.25698624;0.177500177;0;0;0
5;0.223512542;0.167834239;0;0;0
5.01;0.262149763;0.152368739;0;0;0
5.02;0.230721757;0.144313792;0;0;0
5.03;0.255806204;0.131748074;0;0;0
5.04;0.27296356;0.120793346;0;0;0
5.05;0.29523516;0.110160817;0;0;0
5.06;0.240025889;0.107261036;0;0;0
5.07;0.269457431;0.096950706;0;0;0
5.08;0.249792186;0.09179554;0;0;0
5.09;0.298657865;0.080840815;0;0;0
5.1;0.28461829;0.076330045;0;0;0
5.11;0.259838794;0.073108067;0;0;0
5.12;0.269836182;0.066986309;0;0;0
5.13;0.299011998;0.05957576;0;0;0
5.14;0.25172981;0.05957576;0;0;0
5.15;0.261727195;0.054420596;0;0;0
5.16;0.297295816;0.047332245;0;0;0
5.17;0.309850323;0.042821476;0;0;0
5.18;0.257965312;0.044432465;0;0;0
5.19;0.276401202;0.039599499;0;0;0
5.2;0.31657264;0.033155544;0;0;0
5.21;0.290258866;0.033155544;0;0;0
5.22;0.29974482;0.029933566;0;0;0
5.23;0.297468006;0.02800038;0;0;0
5.24;0.268085682;0.028644775;0;0;0
5.25;0.288311553;0.024778403;0;0;0
5.26;0.293706107;0.022523019;0;0;0
5.27;0.300890647;0.020267634;0;0;0
5.28;0.313445146;0.017690053;0;0;0
5.29;0.428284576;0.006090935;0;0;0
5.3;0.115572978;0.033799939;0;0;0
5.31;0.375145595;0.008024121;0;0;0
5.32;0.336557626;0.010923901;0;0;0
5.33;0.267028463;0.016401262;0;0;0
5.34;0.32919115;0.00963511;0;0;0
5.35;0.317964398;0.009957307;0;0;0
5.36;0.335121714;0.007701923;0;0;0
5.37;0.34690907;0.006090935;0;0;0
5.38;0.331335207;0.007057528;0;0;0
5.39;0.322154151;0.007379726;0;0;0
5.4;0.3234573;0.00673533;0;0;0
5.41;0.357491626;0.003191156;0;0;0
5.42;0.322739337;0.006090935;0;0;0
5.43;0.342965196;0.003835551;0;0;0
5.44;0.339921234;0.003835551;0;0;0
5.45;0.347617188;0.002868958;0;0;0
5.46;0.359660252;0.001580167;0;0;0
5.47;0.351246329;0.002224562;0;0;0
5.48;0.37096076;0.000291376;0;0;0
5.49;0.320610016;0.004802144;0;0;0
5.5;10;0.003513353;0;0;9
5.51;10;0.449757608;0;0;9
5.52;10;0.892780814;0;0;9
5.53;10;1.45824104;0;0;9
5.54;10;1.977950597;0;0;9
5.55;10;2.479296397;0;0;9
5.56;10;2.915881121;0;0;9
5.57;10;3.3518229;0;0;9
5.58;10;3.706248255;0;0;9
5.59;10;4.096439604;0;0;9
5.6;10;4.404147215;0;0;9
5.61;10;4.784030414;0;0;9
5.62;10;5.084007044;0;0;9
5.63;10;5.367551861;0;0;9
5.64;10;5.693307244;0;0;9
5.65;10;5.980076053;0;0;9
5.66;10;6.225924661;0;0;9
5.67;10;6.441485813;0;0;9
5.68;10;6.672513851;0;0;9
5.69;10;6.911920159;0;0;9
5.7;10;7.133605236;0;0;9
5.71;10;7.354002066;0;0;9
5.72;10;7.544110949;0;0;9
5.73;10;7.736798066;0;0;9
5.74;10;7.898230298;0;0;9
5.75;10;8.074807279;0;0;9
5.76;9.049754967;8.218840281;0;0;9
5.77;7.628982987;8.402506948;0;0;9
5.78;7.197379816;8.484029323;0;0;9
5.79;7.460089631;8.497240468;0;0;9
5.8;8.50713062;8.438918116;0;0;9
5.81;8.096752812;8.515929409;0;0;9
5.82;9.529949654;8.421518086;0;0;9
5.83;9.820790164;8.436662556;0;0;9
5.84;8.470594789;8.598418588;0;0;9
5.85;8.456345703;8.628385384;0;0;9
5.86;8.153373818;8.682196761;0;0;9
5.87;8.412758894;8.681552313;0;0;9
5.88;8.271665767;8.716996955;0;0;9
5.89;9.380596276;8.637407648;0;0;9
5.9;9.85096105;8.62097424;0;0;9
5.91;8.562137412;8.76404169;0;0;9
5.92;7.976067342;8.83364218;0;0;9
5.93;8.183282869;8.826875462;0;0;9
5.94;8.836242033;8.780475133;0;0;9
5.95;8.376759996;8.837508876;0;0;9
5.96;9.697950705;8.730208145;0;0;9
5.97;8.931077331;8.818497623;0;0;9
5.98;7.639436524;8.947709803;0;0;9
5.99;9.284899358;8.803353069;0;0;9
6;7.228357796;9.002488109;0;0;9
6.01;8.923434204;8.849753414;0;0;9
6.02;10;8.667374461;0;0;9
6.03;7.399330327;8.997654727;0;0;9
6.04;7.834405349;8.958665461;0;0;9
6.05;9.313641545;8.828486585;0;0;9
6.06;9.267169229;8.844920044;0;0;9
6.07;9.680250393;8.818819847;0;0;9
6.08;9.136631586;8.880686995;0;0;9
6.09;8.22526647;8.971232247;0;0;9
6.1;8.112047247;8.98347681;0;0;9
6.11;8.877019153;8.915809516;0;0;9
6.12;8.811366597;8.927731844;0;0;9
6.13;9.144403392;8.902920516;0;0;9
6.14;8.602062492;8.958665461;0;0;9
6.15;8.17659173;8.999910306;0;0;9
6.16;8.910619984;8.933854121;0;0;9
6.17;8.45829729;8.97928788;0;0;9
6.18;9.248075355;8.909687241;0;0;9
6.19;9.029749574;8.935787472;0;0;9
6.2;7.995886906;9.033421761;0;0;9
6.21;8.742702217;8.963821065;0;0;9
6.22;8.617463506;8.977676753;0;0;9
6.23;8.463326788;8.993143571;0;0;9
6.24;8.844697617;8.959309911;0;0;9
6.25;0;9.001843658;0;0;0
6.26;0;8.755663858;0;0;0
6.27;0;7.862786065;0;0;0
6.28;0;7.561832987;0;0;0
6.29;0;7.05143991;0;0;0
6.3;0;6.557805289;0;0;0
6.31;0;6.061595894;0;0;0
6.32;0;5.620487444;0;0;0
6.33;0;5.209668848;0;0;0
6.34;0;4.877148734;0;0;0
6.35;0;4.508542459;0;0;0
6.36;0;4.17215815;0;0;0
6.37;0;3.877983836;0;0;0
6.38;0;3.57704398;0;0;0
6.39;0;3.330879617;0;0;0
6.4;0;3.069249972;0;0;0
6.41;0;2.827597453;0;0;0
